articleId,recordKey,publishedAt,sourceName,sourceHost,title,label,sentiment_score,evento,evento_chave,evento_id,tipo_evento,local,data_evento,descricao_curta,model
1041,a-1041,2016-05-31 07:00:00+00:00,Google News,rio.rj.gov.br,Prefeitura da Cidade do Rio de Janeiro - Prefeitura da Cidade do Rio de Janeiro,positivo,1.0,Início da Operação Centro Presente com 528 agentes de segurança,inicio-operacao-centro-presente-2016,inicio-operacao-centro-presente-2016,operacao policial,Centro do Rio de Janeiro,2016-07-02,A Operação Centro Presente será lançada com 528 agentes para reforçar a segurança no Centro do Rio.,gpt-4o-mini
1571,a-1571,2016-08-29 14:52:53+00:00,Diario do Rio,diariodorio.com,O que é a operação Centro Presente,positivo,1.0,Implantação da operação Centro Presente no Centro do Rio,implantacao-operacao-centro-presente-centro-rio-2016,implantacao-operacao-centro-presente-centro-rio-2016,operacao policial,Centro do Rio de Janeiro,2016-07-04,A operação Centro Presente foi implantada no Centro do Rio para aumentar a segurança na região.,gpt-4o-mini
1570,a-1570,2018-12-24 13:50:05+00:00,Diario do Rio,diariodorio.com,Tijuca Presente começa em 3 de Janeiro,positivo,1.0,Início do projeto Segurança Presente na Tijuca,inicio-seguranca-presente-tijuca-2019,inicio-seguranca-presente-tijuca-2019,inauguracao/expansao,"Tijuca, Rio de Janeiro",2019-01-03,"O projeto Segurança Presente começa na Tijuca em 3 de janeiro de 2019, com 30 agentes de segurança.",gpt-4o-mini
1569,a-1569,2019-01-18 16:14:10+00:00,Diario do Rio,diariodorio.com,Vias Expressas do Rio ganharão seu “Segurança Presente”,positivo,1.0,Criação do programa Segurança Presente nas Vias Expressas do Rio de Janeiro,criacao-seguranca-presente-vias-expressas-rio-2019,criacao-seguranca-presente-vias-expressas-rio-2019,inauguracao/expansao,Rio de Janeiro,2019-01-18,O governador Wilson Witzel anuncia a criação do programa Segurança Presente nas Vias Expressas do Rio.,gpt-4o-mini
1060,a-1060,2019-01-21 08:00:00+00:00,Google News,oglobo.globo.com,Programa Segurança Presente cresce custeado por comerciantes,positivo,1.0,"Expansão do programa Segurança Presente para Jacarepaguá, Maracanã e Baixada Fluminense",expansao-seguranca-presente-jacarepagua-maracana-baixada-2019,expansao-seguranca-presente-jacarepagua-maracana-baixada-2019,inauguracao/expansao,Rio de Janeiro,2019-01-21,O programa Segurança Presente será expandido para novas áreas com financiamento de comerciantes.,gpt-4o-mini
1568,a-1568,2019-01-21 11:53:36+00:00,Diario do Rio,diariodorio.com,Jacarepaguá e Maracanã podem ter Segurança Presente,positivo,1.0,Possível implementação do programa Segurança Presente em Jacarepaguá e Maracanã,implementacao-seguranca-presente-jacarepagua-maracana-2019,implementacao-seguranca-presente-jacarepagua-maracana-2019,inauguracao/expansao,"Jacarepaguá e Maracanã, Rio de Janeiro",2019-01-21,"O programa Segurança Presente pode ser expandido para Jacarepaguá e Maracanã, com apoio local.",gpt-4o-mini
1567,a-1567,2019-01-21 12:12:43+00:00,Diario do Rio,diariodorio.com,Prefeitura fará ações de ordenamento urbano no Centro,positivo,1.0,Ação de ordenamento urbano no Centro do Rio em parceria com o Segurança Presente,acao-ordenamento-urbano-centro-rio-2019,acao-ordenamento-urbano-centro-rio-2019,gestao/administracao,Centro do Rio de Janeiro,2019-01-21,Prefeitura inicia ação de ordenamento urbano no Centro do Rio em parceria com o Segurança Presente.,gpt-4o-mini
1566,a-1566,2019-01-30 16:18:39+00:00,Diario do Rio,diariodorio.com,Segurança Presente vai reforçar policiamento no Carnaval,positivo,1.0,Reforço do policiamento do Segurança Presente no Carnaval,reforco-policamento-seguranca-presente-carnaval-2019,reforco-policamento-seguranca-presente-carnaval-2019,inauguracao/expansao,Rio de Janeiro,2019-02-01,Segurança Presente reforça policiamento para o Carnaval no Rio de Janeiro.,gpt-4o-mini
1565,a-1565,2019-02-21 21:37:03+00:00,Diario do Rio,diariodorio.com,Pulseiras de identificação para crianças serão distribuídas no carnaval,positivo,1.0,Distribuição de pulseiras de identificação para crianças no Carnaval,distribuicao-pulseiras-identificacao-carnaval-2019,distribuicao-pulseiras-identificacao-carnaval-2019,evento publico/cultural,Rio de Janeiro,2019-02-22,Serão distribuídas 390 mil pulseiras de identificação para crianças durante o Carnaval no Rio de Janeiro.,gpt-4o-mini
1564,a-1564,2019-06-28 19:57:04+00:00,Diario do Rio,diariodorio.com,"‘Sou situação, mas posso virar oposição’, diz Witzel a Paulo Guedes",positivo,1.0,Expansão do programa Segurança Presente para novos bairros e cidades,expansao-seguranca-presente-bangu-barra-botafogo-laranjeiras-vila-isabel-2019,expansao-seguranca-presente-bangu-barra-botafogo-laranjeiras-vila-isabel-2019,inauguracao/expansao,Rio de Janeiro,2019-06-28,O governador Witzel anunciou a expansão do programa Segurança Presente para novos bairros e cidades.,gpt-4o-mini
1563,a-1563,2019-07-08 21:52:50+00:00,Diario do Rio,diariodorio.com,Segurança Presente chega a novas áreas a partir de agosto,positivo,1.0,"Expansão do programa Segurança Presente para Grajaú, Catete e Largo do Machado",expansao-seguranca-presente-grajau-catete-largo-do-machado-2019,expansao-seguranca-presente-grajau-catete-largo-do-machado-2019,inauguracao/expansao,Rio de Janeiro,2019-08-01,O programa Segurança Presente será expandido para novas áreas no Rio de Janeiro a partir de agosto de 2019.,gpt-4o-mini
1562,a-1562,2019-07-16 18:10:15+00:00,Diario do Rio,diariodorio.com,Segurança Presente será expandido para 5 bairros do Rio,positivo,1.0,Expansão do programa Segurança Presente para 5 bairros do Rio,expansao-seguranca-presente-bairros-rio-2019,expansao-seguranca-presente-bairros-rio-2019,inauguracao/expansao,Rio de Janeiro,2019-08-01,O programa Segurança Presente será expandido para 5 bairros do Rio de Janeiro a partir de agosto de 2019.,gpt-4o-mini
1107,a-1107,2019-07-24 07:00:00+00:00,Google News,oglobo.globo.com,Segurança Presente diminui número de PMs em unidades para expandir áreas,negativo,-1.0,Redução do efetivo policial no programa Segurança Presente para expansão de áreas,reducao-efetivo-seguranca-presente-2019,reducao-efetivo-seguranca-presente-2019,gestao/administracao,Rio de Janeiro,2019,O programa Segurança Presente reduz o número de PMs em unidades para expandir áreas de atuação.,gpt-4o-mini
1561,a-1561,2019-07-25 20:55:25+00:00,Diario do Rio,diariodorio.com,Operação Segurança Presente terá efetivo dobrado pelo Governo do Estado,positivo,1.0,Dobro do efetivo da Operação Segurança Presente anunciado pelo governador do Rio de Janeiro,dobro-efetivo-operacao-seguranca-presente-2019,dobro-efetivo-operacao-seguranca-presente-2019,inauguracao/expansao,Rio de Janeiro,2019-07-22,Governo do Rio anuncia aumento do efetivo da Operação Segurança Presente para 2 mil agentes.,gpt-4o-mini
1560,a-1560,2019-07-30 17:57:49+00:00,Diario do Rio,diariodorio.com,Wilson Witzel apostando em Pedro Fernandes para prefeito em 2020,n/a,,Apoio de Wilson Witzel à candidatura de Pedro Fernandes para prefeito do Rio em 2020,apoio-wilson-witzel-pedro-fernandes-prefeito-2020,apoio-wilson-witzel-pedro-fernandes-prefeito-2020,outro,Rio de Janeiro,2020,Wilson Witzel demonstra apoio à candidatura de Pedro Fernandes para a prefeitura do Rio em 2020.,gpt-4o-mini
1559,a-1559,2019-07-31 14:52:33+00:00,Diario do Rio,diariodorio.com,Segurança Presente apreende mais de 50 objetos cortantes em 1 dia de operação,positivo,1.0,Apreensão de 55 objetos cortantes e prisão em operação do Segurança Presente,apreensao-objetos-cortantes-seguranca-presente-2019,apreensao-objetos-cortantes-seguranca-presente-2019,operacao policial,Rio de Janeiro,2019-07-30,Operação do Segurança Presente apreende 55 objetos cortantes e resulta em uma prisão no Rio de Janeiro.,gpt-4o-mini
1558,a-1558,2019-07-31 21:32:45+00:00,Diario do Rio,diariodorio.com,"Editorial: Witzel está certo, usuário de droga na rua é para internar ou prender",positivo,1.0,Apreensão de armas brancas pela Segurança Presente e proposta de internação de usuários de drogas no Rio de Janeiro,apreensao-armas-brancas-seguranca-presente-internacao-usuarios-drogas-2019,apreensao-armas-brancas-seguranca-presente-internacao-usuarios-drogas-2019,operacao policial,Rio de Janeiro,2019-07-31,A Segurança Presente apreendeu armas brancas e discute a internação de usuários de drogas no Rio.,gpt-4o-mini
1557,a-1557,2019-08-11 01:09:01+00:00,Diario do Rio,diariodorio.com,Governo do Estado quer o controle da ordem urbana em praias e praças do Rio,negativo,-1.0,Controle da ordem urbana em praias e praças do Rio,controle-ordem-urbana-praias-pracas-rio-2019,controle-ordem-urbana-praias-pracas-rio-2019,gestao/administracao,Rio de Janeiro,2019-08-10,Governo do Estado do Rio busca controlar a ordem urbana em praias e praças.,gpt-4o-mini
1030,a-1030,2019-08-16 07:00:00+00:00,Google News,novaiguacu.rj.gov.br,Inaugurada base do Segurança Presente em Nova Iguaçu - Prefeitura de Nova Iguaçu,positivo,1.0,Inauguração da base do Segurança Presente em Nova Iguaçu,inauguracao-base-seguranca-presente-nova-iguacu-2019,inauguracao-base-seguranca-presente-nova-iguacu-2019,inauguracao/expansao,Nova Iguaçu,2019-08-16,"Foi inaugurada a primeira base do programa Segurança Presente na Baixada Fluminense, em Nova Iguaçu.",gpt-4o-mini
1085,a-1085,2019-09-05 07:00:00+00:00,Google News,oglobo.globo.com,Laranjeiras terá Segurança Presente a partir desta sexta-feira,positivo,1.0,Chegada do programa Segurança Presente em Laranjeiras,chegada-seguranca-presente-laranjeiras-2019,chegada-seguranca-presente-laranjeiras-2019,inauguracao/expansao,"Laranjeiras, Rio de Janeiro",2019-09-06,O programa Segurança Presente será implementado em Laranjeiras com patrulhamento comunitário.,gpt-4o-mini
1556,a-1556,2019-09-05 19:32:33+00:00,Diario do Rio,diariodorio.com,Rodrigo Pimentel: Estado de Turismo para salvar o Rio,negativo,-1.0,Proposta de zonas verdes para segurança de turistas no Rio de Janeiro,proposta-zonas-verdes-seguranca-turistas-rio-2019,proposta-zonas-verdes-seguranca-turistas-rio-2019,gestao/administracao,Rio de Janeiro,2019-09-05,Rodrigo Pimentel propõe zonas verdes para garantir segurança a turistas no Rio de Janeiro.,gpt-4o-mini
1555,a-1555,2019-09-05 22:07:48+00:00,Diario do Rio,diariodorio.com,Laranjeiras Presente começa a circular no bairro nesta sexta,positivo,1.0,Inauguração do programa Segurança Presente em Laranjeiras,inauguracao-seguranca-presente-laranjeiras-2019,inauguracao-seguranca-presente-laranjeiras-2019,inauguracao/expansao,"Laranjeiras, Rio de Janeiro",2019-09-06,O programa Segurança Presente inicia operações em Laranjeiras com 69 agentes.,gpt-4o-mini
1554,a-1554,2019-09-12 19:55:58+00:00,Diario do Rio,diariodorio.com,Abrigos da Prefeitura têm vagas para apenas 15% das pessoas em situação de rua,negativo,-1.0,Insuficiência de vagas em abrigos para pessoas em situação de rua no Rio de Janeiro,insuficiencia-vagas-abrigos-situacao-rua-rio-2019,insuficiencia-vagas-abrigos-situacao-rua-rio-2019,gestao/administracao,Rio de Janeiro,2019,"A Prefeitura do Rio tem vagas para apenas 15% das pessoas em situação de rua, com cortes no orçamento da assistência social.",gpt-4o-mini
1553,a-1553,2019-09-19 17:37:48+00:00,Diario do Rio,diariodorio.com,"Felipe Lucena: Põe a mão na cabecinha, Witzel",negativo,-1.0,Críticas à política de segurança de Witzel nas favelas do Rio de Janeiro,criticas-politica-seguranca-witzel-favelas-2019,criticas-politica-seguranca-witzel-favelas-2019,denuncia/irregularidade,Rio de Janeiro,2019,A política de segurança de Witzel é criticada por sua ineficácia e pela violência nas favelas.,gpt-4o-mini
1552,a-1552,2019-09-20 17:15:53+00:00,Diario do Rio,diariodorio.com,Segurança Presente começa em Bangu nesta sexta-feira,positivo,1.0,Inauguração da Operação Segurança Presente em Bangu,inauguracao-operacao-seguranca-presente-bangu-2019,inauguracao-operacao-seguranca-presente-bangu-2019,inauguracao/expansao,"Bangu, Rio de Janeiro",2019-09-20,"Foi inaugurada a Operação Segurança Presente em Bangu, com 60 agentes atuando no centro comercial.",gpt-4o-mini
1551,a-1551,2019-10-05 17:04:34+00:00,Diario do Rio,diariodorio.com,Botafogo ganha Segurança Presente,positivo,1.0,Inauguração do programa Segurança Presente em Botafogo,inauguracao-seguranca-presente-botafogo-2019,inauguracao-seguranca-presente-botafogo-2019,inauguracao/expansao,"Botafogo, Rio de Janeiro",2019-10-04,Botafogo recebe a operação Segurança Presente com 58 agentes para reforçar a segurança no bairro.,gpt-4o-mini
1550,a-1550,2019-10-25 20:20:59+00:00,Diario do Rio,diariodorio.com,Segurança presente terá investimento de 200 milhões em 2020,positivo,1.0,Anúncio de investimento de R$ 200 milhões no Segurança Presente em 2020,anuncio-investimento-seguranca-presente-2020,anuncio-investimento-seguranca-presente-2020,financiamento/parceria,,2020,O governo anunciou um investimento de R$ 200 milhões para o programa Segurança Presente em 2020.,gpt-4o-mini
1020,a-1020,2019-10-30 07:00:00+00:00,Google News,novaiguacu.rj.gov.br,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,positivo,1.0,Inauguração da segunda base do Segurança Presente em Nova Iguaçu,inauguracao-segunda-base-seguranca-presente-nova-iguacu-2019,inauguracao-segunda-base-seguranca-presente-nova-iguacu-2019,inauguracao/expansao,Nova Iguaçu,2019-10-30,"Segurança Presente inaugura sua segunda base no bairro de Austin, em Nova Iguaçu.",gpt-4o-mini
1059,a-1059,2019-10-30 07:00:00+00:00,Google News,novaiguacu.rj.gov.br,Segurança Presente inaugura base em Austin - Prefeitura de Nova Iguaçu,positivo,1.0,Inauguração da base do Segurança Presente em Austin,inauguracao-base-seguranca-presente-austin-2019,inauguracao-base-seguranca-presente-austin-2019,inauguracao/expansao,"Austin, Nova Iguaçu",2019-10-30,"Segurança Presente inaugura nova base em Austin, Nova Iguaçu.",gpt-4o-mini
1549,a-1549,2019-10-30 14:55:48+00:00,Diario do Rio,diariodorio.com,Baixada Fluminense recebe segundo ponto de operação do Segurança Presente,positivo,1.0,"Inauguração da segunda base do Segurança Presente em Austin, Nova Iguaçu",inauguracao-segunda-base-seguranca-presente-austin-2019,inauguracao-segunda-base-seguranca-presente-austin-2019,inauguracao/expansao,"Austin, Nova Iguaçu",2019-10-30,"Segurança Presente inaugura segunda base em Austin, Baixada Fluminense.",gpt-4o-mini
1066,a-1066,2019-11-26 08:00:00+00:00,Google News,oglobo.globo.com,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",positivo,1.0,Inauguração do Barra Presente na Barra da Tijuca,inauguracao-barra-presente-barra-da-tijuca-2019,inauguracao-barra-presente-barra-da-tijuca-2019,inauguracao/expansao,"Barra da Tijuca, Rio de Janeiro",29/11/2019,"O programa Barra Presente, parte do Segurança Presente, será inaugurado na Barra da Tijuca com 138 agentes.",gpt-4o-mini
1548,a-1548,2019-11-29 21:40:56+00:00,Diario do Rio,diariodorio.com,"Inaugurado na Barra, programa ‘Segurança Presente’ também será inserido no Recreio",positivo,1.0,Inauguração do programa 'Segurança Presente' na Barra da Tijuca,inauguracao-seguranca-presente-barra-da-tijuca-2019,inauguracao-seguranca-presente-barra-da-tijuca-2019,inauguracao/expansao,"Barra da Tijuca, Rio de Janeiro",2019-11-29,"O programa 'Segurança Presente' foi inaugurado na Barra da Tijuca, com a adição de novos policiais e a promessa de expansão para o Recreio.",gpt-4o-mini
1116,a-1116,2019-11-29 23:01:13+00:00,Google News,voltaredonda.rj.gov.br,Prefeitura acerta implementação do programa estadual operação Segurança Presente - Prefeitura de Volta Redonda,positivo,1.0,Implementação do programa Segurança Presente em Volta Redonda,implementacao-programa-seguranca-presente-volta-redonda,implementacao-programa-seguranca-presente-volta-redonda,inauguracao/expansao,"Volta Redonda, RJ",2019-11-29,Prefeito de Volta Redonda acerta a implementação do programa Segurança Presente para combater a violência.,gpt-4o-mini
1547,a-1547,2019-12-19 18:49:31+00:00,Diario do Rio,diariodorio.com,Segurança Presente atuará na noite e na madrugada em Copacabana e no Leme,positivo,1.0,Reforço do policiamento noturno em Copacabana e Leme,reforco-policamento-noturno-copacabana-leme-2019,reforco-policamento-noturno-copacabana-leme-2019,inauguracao/expansao,"Copacabana e Leme, Rio de Janeiro",2019-12-19,Segurança Presente reforça patrulhamento noturno em Copacabana e Leme com 40 agentes.,gpt-4o-mini
1546,a-1546,2019-12-20 16:23:44+00:00,Diario do Rio,diariodorio.com,Witzel inaugura Segurança Presente no Grajaú e em Vila Isabel,positivo,1.0,Inauguração do programa Segurança Presente no Grajaú e Vila Isabel,inauguracao-seguranca-presente-grajau-vila-isabel-2019,inauguracao-seguranca-presente-grajau-vila-isabel-2019,inauguracao/expansao,"Grajaú e Vila Isabel, Rio de Janeiro",2019-12-20,O programa Segurança Presente foi inaugurado no Grajaú e Vila Isabel com 57 agentes fixos.,gpt-4o-mini
1545,a-1545,2019-12-20 17:13:35+00:00,Diario do Rio,diariodorio.com,Recreio ganha unidade da Operação Segurança Presente,positivo,1.0,Inauguração da unidade do Segurança Presente no Recreio dos Bandeirantes,inauguracao-unidade-seguranca-presente-recreio-dos-bandeirantes-2019,inauguracao-unidade-seguranca-presente-recreio-dos-bandeirantes-2019,inauguracao/expansao,"Recreio dos Bandeirantes, Rio de Janeiro",2019-12-19,Foi inaugurada uma nova unidade do programa Segurança Presente no Recreio dos Bandeirantes.,gpt-4o-mini
1544,a-1544,2019-12-20 18:27:59+00:00,Diario do Rio,diariodorio.com,Witzel anuncia que UPPs serão fortalecidas a partir de 2020,positivo,1.0,Anúncio de fortalecimento das UPPs a partir de 2020,anuncio-fortalecimento-upps-2020,anuncio-fortalecimento-upps-2020,gestao/administracao,"Grajaú e Vila Isabel, Rio de Janeiro",2020,Witzel anuncia reforço nas UPPs durante lançamento da Operação Segurança Presente.,gpt-4o-mini
1543,a-1543,2020-01-17 21:00:54+00:00,Diario do Rio,diariodorio.com,Segurança Presente inaugura base em Copacabana,positivo,1.0,Inauguração da base da Operação Segurança Presente em Copacabana,inauguracao-base-operacao-seguranca-presente-copacabana-2020,inauguracao-base-operacao-seguranca-presente-copacabana-2020,inauguracao/expansao,"Copacabana, Rio de Janeiro",2020-01-20,Base da Operação Segurança Presente é inaugurada em Copacabana.,gpt-4o-mini
