articleId,recordKey,publishedAt,sourceName,sourceHost,title,label,sentiment_score,evento,evento_chave,evento_id,tipo_evento,local,data_evento,descricao_curta,event_confidence,model
1041,a-1041,2016-05-31 07:00:00+00:00,Google News,rio.rj.gov.br,Prefeitura da Cidade do Rio de Janeiro - Prefeitura da Cidade do Rio de Janeiro,positivo,1,Lançamento da Operação Centro Presente com 528 agentes de segurança no Centro do Rio de Janeiro,lancamento_operacao_centro_presente,lancamento-operacao-centro-presente,lançamento,Centro do Rio de Janeiro,2016-07-02,A Prefeitura do Rio inicia a Operação Centro Presente para reforçar a segurança na região central da cidade.,0.95,gpt-4o-mini
1571,a-1571,2016-08-29 14:52:53+00:00,Diario do Rio,diariodorio.com,O que é a operação Centro Presente,positivo,1,Implantação da operação Centro Presente na Zona Portuária do Rio de Janeiro,operacao_centro_presente,operacao-centro-presente,implantacao,"Zona Portuária, Rio de Janeiro",2016-07-04,Início da operação Centro Presente com foco na segurança da Zona Portuária.,0.95,gpt-4o-mini
1570,a-1570,2018-12-24 13:50:05+00:00,Diario do Rio,diariodorio.com,Tijuca Presente começa em 3 de Janeiro,positivo,1,Início do projeto Segurança Presente na Tijuca,inicio_seguranca_presente_tijuca_2019,inicio-seguranca-presente-tijuca-2019,inauguracao,"Tijuca, Rio de Janeiro",2019-01-03,O projeto Segurança Presente começa a operar na Tijuca com a presença de 30 agentes de segurança.,0.95,gpt-4o-mini
1569,a-1569,2019-01-18 16:14:10+00:00,Diario do Rio,diariodorio.com,Vias Expressas do Rio ganharão seu “Segurança Presente”,positivo,1,Implementação do programa 'Segurança Presente' nas Vias Expressas do Rio de Janeiro,implementacao_seguranca_presente_vias_expressas_rio_2019,implementacao-seguranca-presente-vias-expressas-rio-2019,implementacao,Vias Expressas do Rio de Janeiro,2019-01-18,O governador Wilson Witzel anuncia a implementação do programa 'Segurança Presente' nas Vias Expressas do Rio de Janeiro.,0.95,gpt-4o-mini
1060,a-1060,2019-01-21 08:00:00+00:00,Google News,oglobo.globo.com,Programa Segurança Presente cresce custeado por comerciantes,positivo,1,"Expansão do programa Segurança Presente para Jacarepaguá, Maracanã e Baixada Fluminense",expansao_seguranca_presente_2019,expansao-seguranca-presente-2019,expansão,"Rio de Janeiro, Jacarepaguá, Maracanã e Baixada Fluminense",2019-01-21,"O programa Segurança Presente, principal projeto de segurança pública do governo Wilson Witzel, será expandido para novas áreas do Rio de Janeiro com apoio de comerciantes e prefeituras.",0.95,gpt-4o-mini
1568,a-1568,2019-01-21 11:53:36+00:00,Diario do Rio,diariodorio.com,Jacarepaguá e Maracanã podem ter Segurança Presente,positivo,1,Implementação do programa Segurança Presente em Jacarepaguá e Maracanã,implementacao_seguranca_presente_jacarepagua_maracana,implementacao-seguranca-presente-jacarepagua-maracana,projeto,"Jacarepaguá e Maracanã, Rio de Janeiro",2019-01-21,"Discussão sobre a implementação do programa Segurança Presente em Jacarepaguá e Maracanã, com apoio de associações comerciais locais.",0.9,gpt-4o-mini
1567,a-1567,2019-01-21 12:12:43+00:00,Diario do Rio,diariodorio.com,Prefeitura fará ações de ordenamento urbano no Centro,positivo,1,Ação de ordenamento urbano no Centro do Rio em conjunto com o programa Segurança Presente,acao_ordenamento_urbano_segurança_presente_2019,acao-ordenamento-urbano-seguranca-presente-2019,Ação de ordenamento urbano,Centro do Rio de Janeiro,2019-01-21,Início da ação de ordenamento urbano no Centro do Rio em conjunto com o programa Segurança Presente.,0.95,gpt-4o-mini
1566,a-1566,2019-01-30 16:18:39+00:00,Diario do Rio,diariodorio.com,Segurança Presente vai reforçar policiamento no Carnaval,positivo,1,Reforço de policiamento no Carnaval com Segurança Presente,reforco_policiamento_carnaval_2019,reforco-policiamento-carnaval-2019,parceria,Rio de Janeiro,2019-02-01,Parceria entre Segurança Presente e Riotur para reforçar policiamento durante o Carnaval no Rio de Janeiro.,0.9,gpt-4o-mini
1565,a-1565,2019-02-21 21:37:03+00:00,Diario do Rio,diariodorio.com,Pulseiras de identificação para crianças serão distribuídas no carnaval,positivo,1,Distribuição de pulseiras de identificação para crianças durante o Carnaval,distribuicao_pulseiras_identificacao_carnaval_2019,distribuicao-pulseiras-identificacao-carnaval-2019,distribuição,Rio de Janeiro,2019-02-22,Início da distribuição de 390 mil pulseiras de identificação para crianças e adolescentes durante o Carnaval para evitar que se percam dos responsáveis.,0.95,gpt-4o-mini
1564,a-1564,2019-06-28 19:57:04+00:00,Diario do Rio,diariodorio.com,"‘Sou situação, mas posso virar oposição’, diz Witzel a Paulo Guedes",positivo,1,Expansão do programa Segurança Presente para novos bairros no Rio de Janeiro,expansao_seguranca_presente_2019,expansao-seguranca-presente-2019,anuncio,"Bangu, Barra da Tijuca, Botafogo, Laranjeiras, Vila Isabel, Duque de Caxias e Nova Iguaçu, Rio de Janeiro",2019-06-28,Anúncio do governador Wilson Witzel sobre a expansão do programa Segurança Presente para novos bairros e cidades.,0.95,gpt-4o-mini
