month,muito negativo,negativo,neutro,positivo,muito positivo,n/a
2016-05,0.0,0.0,0.0,100.0,0.0,0.0
2016-08,0.0,0.0,0.0,100.0,0.0,0.0
2018-12,0.0,0.0,0.0,100.0,0.0,0.0
2019-01,0.0,0.0,0.0,100.0,0.0,0.0
2019-02,0.0,0.0,0.0,100.0,0.0,0.0
2019-06,0.0,0.0,0.0,100.0,0.0,0.0
2019-07,0.0,14.2857,0.0,71.4286,0.0,14.2857
2019-08,0.0,50.0,0.0,50.0,0.0,0.0
2019-09,0.0,50.0,0.0,50.0,0.0,0.0
2019-10,0.0,0.0,0.0,100.0,0.0,0.0
2019-11,0.0,0.0,0.0,100.0,0.0,0.0
2019-12,0.0,0.0,0.0,100.0,0.0,0.0
2020-01,0.0,12.5,0.0,75.0,0.0,12.5
2020-02,0.0,0.0,0.0,100.0,0.0,0.0
2020-03,0.0,0.0,50.0,50.0,0.0,0.0
2020-04,0.0,50.0,0.0,50.0,0.0,0.0
2020-05,0.0,0.0,0.0,0.0,0.0,100.0
2020-06,0.0,33.3333,0.0,33.3333,0.0,33.3333
2020-08,0.0,0.0,0.0,66.6667,0.0,33.3333
2020-09,20.0,20.0,0.0,60.0,0.0,0.0
2020-10,0.0,12.5,12.5,75.0,0.0,0.0
2020-11,0.0,9.0909,0.0,81.8182,0.0,9.0909
2020-12,0.0,0.0,0.0,100.0,0.0,0.0
2021-01,0.0,33.3333,0.0,66.6667,0.0,0.0
2021-02,0.0,25.0,0.0,25.0,0.0,50.0
2021-03,0.0,0.0,0.0,50.0,0.0,50.0
2021-04,0.0,0.0,0.0,71.4286,0.0,28.5714
2021-05,0.0,25.0,0.0,50.0,0.0,25.0
2021-06,0.0,0.0,0.0,75.0,0.0,25.0
2021-07,0.0,8.3333,0.0,75.0,0.0,16.6667
2021-08,0.0,0.0,0.0,75.0,0.0,25.0
2021-09,0.0,16.6667,0.0,83.3333,0.0,0.0
2021-10,0.0,0.0,20.0,80.0,0.0,0.0
2021-11,0.0,0.0,0.0,100.0,0.0,0.0
2021-12,0.0,0.0,0.0,100.0,0.0,0.0
2022-01,0.0,16.6667,0.0,83.3333,0.0,0.0
2022-02,0.0,0.0,20.0,60.0,0.0,20.0
2022-03,5.8824,11.7647,0.0,64.7059,0.0,17.6471
2022-04,0.0,25.0,0.0,75.0,0.0,0.0
2022-05,0.0,20.0,0.0,80.0,0.0,0.0
2022-06,0.0,40.0,0.0,60.0,0.0,0.0
2022-07,0.0,0.0,14.2857,85.7143,0.0,0.0
2022-08,0.0,22.2222,0.0,77.7778,0.0,0.0
2022-09,0.0,16.6667,0.0,66.6667,0.0,16.6667
2022-10,0.0,50.0,0.0,50.0,0.0,0.0
2022-11,33.3333,0.0,33.3333,33.3333,0.0,0.0
2022-12,0.0,50.0,0.0,50.0,0.0,0.0
2023-01,0.0,16.6667,0.0,66.6667,0.0,16.6667
2023-02,0.0,0.0,0.0,100.0,0.0,0.0
2023-03,0.0,8.3333,0.0,83.3333,0.0,8.3333
2023-04,16.6667,66.6667,0.0,16.6667,0.0,0.0
2023-05,0.0,33.3333,0.0,33.3333,0.0,33.3333
2023-06,0.0,25.0,0.0,75.0,0.0,0.0
2023-07,0.0,0.0,0.0,100.0,0.0,0.0
2023-08,0.0,50.0,0.0,50.0,0.0,0.0
2023-09,0.0,28.5714,0.0,57.1429,0.0,14.2857
2023-10,0.0,50.0,0.0,50.0,0.0,0.0
2023-11,20.0,40.0,0.0,40.0,0.0,0.0
2023-12,0.0,50.0,0.0,50.0,0.0,0.0
2024-01,0.0,0.0,0.0,80.0,20.0,0.0
2024-02,0.0,22.2222,0.0,77.7778,0.0,0.0
2024-03,0.0,37.5,0.0,62.5,0.0,0.0
2024-04,0.0,33.3333,0.0,16.6667,0.0,50.0
2024-05,0.0,33.3333,0.0,66.6667,0.0,0.0
2024-06,25.0,25.0,0.0,25.0,0.0,25.0
2024-07,0.0,7.1429,7.1429,71.4286,0.0,14.2857
2024-08,7.6923,30.7692,7.6923,30.7692,0.0,23.0769
2024-09,0.0,50.0,0.0,30.0,0.0,20.0
2024-10,0.0,28.5714,0.0,64.2857,0.0,7.1429
2024-11,0.0,10.0,0.0,90.0,0.0,0.0
2024-12,0.0,30.0,0.0,50.0,0.0,20.0
2025-01,0.0,62.5,0.0,12.5,0.0,25.0
2025-02,0.0,33.3333,4.7619,57.1429,0.0,4.7619
2025-03,0.0,24.1379,3.4483,65.5172,0.0,6.8966
2025-04,0.0,22.2222,0.0,55.5556,0.0,22.2222
2025-05,7.1429,7.1429,0.0,64.2857,0.0,21.4286
2025-06,0.0,0.0,0.0,100.0,0.0,0.0
2025-07,7.1429,14.2857,7.1429,64.2857,0.0,7.1429
2025-08,0.0,15.7895,0.0,84.2105,0.0,0.0
2025-09,4.0,28.0,0.0,48.0,0.0,20.0
2025-10,0.0,12.5,4.1667,70.8333,0.0,12.5
2025-11,2.8571,28.5714,2.8571,54.2857,0.0,11.4286
2025-12,11.7647,23.5294,0.0,52.9412,0.0,11.7647
2026-01,11.4286,34.2857,0.0,45.7143,0.0,8.5714
2026-02,0.0,20.5128,0.0,69.2308,0.0,10.2564
2026-03,7.5472,22.6415,1.8868,56.6038,0.0,11.3208
2026-04,0.0,23.8095,0.0,52.381,4.7619,19.0476
2026-05,7.5472,28.3019,9.434,41.5094,0.0,13.2075
2026-06,0.0,28.5714,0.0,57.1429,0.0,14.2857
