recordKey,jsonIndex,id,articleId,publishedAt,publishedDisplay,sourceName,sourceHost,title,storyId,storyTitle,targetKeys,label,sentiment_score,confidence,reason,model,date,month,publishedAtSort,cluster
a-1041,863,a-1041,1041,2016-05-31 07:00:00+00:00,31/05/2016 07:00 UTC,Google News,rio.rj.gov.br,Prefeitura da Cidade do Rio de Janeiro - Prefeitura da Cidade do Rio de Janeiro,757,Prefeitura da Cidade do Rio de Janeiro - Prefeitura da Cidade do Rio de Janeiro,seguranca_presente,positivo,1.0,0.8,"A notícia destaca a implementação da Operação Centro Presente como uma iniciativa que visa aumentar a segurança em áreas com altos índices de violência, com a presença de agentes de segurança e um investimento significativo. Além disso, menciona experiências positivas de operações anteriores, o que sugere uma percepção favorável do programa.",gpt-4o-mini,2016-05-31,2016-05,2016-05-31 07:00:00+00:00,5
a-1571,862,a-1571,1571,2016-08-29 14:52:53+00:00,29/08/2016 14:52 UTC,Diario do Rio,diariodorio.com,O que é a operação Centro Presente,1098,O que é a operação Centro Presente,crime; seguranca,positivo,1.0,0.8,"A notícia destaca a implementação da operação Centro Presente como uma iniciativa positiva para aumentar a segurança na região revitalizada da Zona Portuária, mencionando a participação de diversos órgãos e o número de prisões realizadas, o que sugere uma resposta eficaz ao crime.",gpt-4o-mini,2016-08-29,2016-08,2016-08-29 14:52:53+00:00,6
a-1570,853,a-1570,1570,2018-12-24 13:50:05+00:00,24/12/2018 13:50 UTC,Diario do Rio,diariodorio.com,Tijuca Presente começa em 3 de Janeiro,1089,Laranjeiras Presente começa a circular no bairro nesta sexta,patrulhamento; seguranca; seguranca_presente,positivo,1.0,0.85,"A notícia destaca o início do programa Segurança Presente como uma iniciativa positiva para o bairro da Tijuca, mencionando a presença de agentes de segurança e a expectativa de melhorias na segurança local, além de fazer referência a experiências bem-sucedidas anteriores.",gpt-4o-mini,2018-12-24,2018-12,2018-12-24 13:50:05+00:00,11
a-1569,861,a-1569,1569,2019-01-18 16:14:10+00:00,18/01/2019 16:14 UTC,Diario do Rio,diariodorio.com,Vias Expressas do Rio ganharão seu “Segurança Presente”,1097,Vias Expressas do Rio ganharão seu “Segurança Presente”,crime; policiamento; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia menciona a implementação do programa 'Segurança Presente' nas Vias Expressas do Rio de Janeiro, destacando a expectativa de sucesso e a participação de forças de segurança, o que sugere uma percepção positiva em relação à iniciativa de aumentar a segurança na área.",gpt-4o-mini,2019-01-18,2019-01,2019-01-18 16:14:10+00:00,5
a-1060,315,a-1060,1060,2019-01-21 08:00:00+00:00,21/01/2019 08:00 UTC,Google News,oglobo.globo.com,Programa Segurança Presente cresce custeado por comerciantes,758,Falta de policiais no programa Segurança Presente deixa bairros do Rio com bases esvaziadas nos fins de semana,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a expansão do programa Segurança Presente, que é visto como uma iniciativa importante para a segurança pública, com apoio de comerciantes e prefeituras, além de mencionar aspectos positivos como assistência social e incentivo ao turismo.",gpt-4o-mini,2019-01-21,2019-01,2019-01-21 08:00:00+00:00,11
a-1568,376,a-1568,1568,2019-01-21 11:53:36+00:00,21/01/2019 11:53 UTC,Diario do Rio,diariodorio.com,Jacarepaguá e Maracanã podem ter Segurança Presente,885,Largo da Lapa ganha base fixa 24h do Segurança Presente,crime; seguranca; seguranca_presente,positivo,1.0,0.85,"A notícia destaca o sucesso do programa Segurança Presente em outras regiões, mencionando uma redução significativa nos crimes, o que sugere uma percepção pública favorável em relação à implementação do programa em Jacarepaguá e Maracanã.",gpt-4o-mini,2019-01-21,2019-01,2019-01-21 11:53:36+00:00,5
a-1567,860,a-1567,1567,2019-01-21 12:12:43+00:00,21/01/2019 12:12 UTC,Diario do Rio,diariodorio.com,Prefeitura fará ações de ordenamento urbano no Centro,1096,Prefeitura fará ações de ordenamento urbano no Centro,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca ações de ordenamento urbano em conjunto com o programa Segurança Presente, apresentando a iniciativa como motivo de comemoração e enfatizando a importância do controle e fiscalização na melhoria do espaço público.",gpt-4o-mini,2019-01-21,2019-01,2019-01-21 12:12:43+00:00,5
a-1566,361,a-1566,1566,2019-01-30 16:18:39+00:00,30/01/2019 16:18 UTC,Diario do Rio,diariodorio.com,Segurança Presente vai reforçar policiamento no Carnaval,816,"Segurança Presente ganha reforço de verão na Zona Sul e no Centro, com 495 agentes por dia",policiamento; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a iniciativa de reforçar o policiamento durante o Carnaval, o que é geralmente visto como uma medida positiva para garantir a segurança dos foliões e promover o ordenamento urbano.",gpt-4o-mini,2019-01-30,2019-01,2019-01-30 16:18:39+00:00,3
a-1565,859,a-1565,1565,2019-02-21 21:37:03+00:00,21/02/2019 21:37 UTC,Diario do Rio,diariodorio.com,Pulseiras de identificação para crianças serão distribuídas no carnaval,1095,Pulseiras de identificação para crianças serão distribuídas no carnaval,seguranca; seguranca_presente,positivo,1.0,0.9,"A notícia destaca uma iniciativa que visa aumentar a segurança de crianças durante o Carnaval, o que é visto como uma ação positiva para a proteção e bem-estar dos menores em eventos de grande aglomeração.",gpt-4o-mini,2019-02-21,2019-02,2019-02-21 21:37:03+00:00,3
a-1564,858,a-1564,1564,2019-06-28 19:57:04+00:00,28/06/2019 19:57 UTC,Diario do Rio,diariodorio.com,"‘Sou situação, mas posso virar oposição’, diz Witzel a Paulo Guedes",1094,"‘Sou situação, mas posso virar oposição’, diz Witzel a Paulo Guedes",seguranca_presente,positivo,1.0,0.8,"A notícia menciona a expansão do programa Segurança Presente e a intenção do governador de melhorar a segurança em diversos bairros, o que é geralmente visto de forma positiva pela população.",gpt-4o-mini,2019-06-28,2019-06,2019-06-28 19:57:04+00:00,11
